Altium Designer Pick and Place Locations
C:\Users\kevin.cotton\OneDrive - Cégep Limoilou\_Cours-TGE\243-436 - Developpement de produits 4 - Dessins et Certifications\kit\243-436-PCB-Support-STM32F407\.\Generate Files\Pick Place\243-436_PCB-Support-STM32F407.csv

========================================================================================================================
File Design Information:

Date:       04-01-26
Time:       15:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"VR1","3296W-1-103LF","TopLayer","R-POT-TH-TOP","98.7400","12.2100","180","TRIMMER 10K OHM 0.5W PC PIN TOP"
"J4","61300211121","TopLayer","CONN_HDR_2POS_100MILS_TH","18.4550","57.9750","0","CONN HEADER 2POS 100MIL"
"J1","694106301002","TopLayer","CONN_DC-JACK_RA","11.9000","17.1000","270","DC Barrel Connector 2.5mm"
"U3","AMS1117-3.3","TopLayer","SOT-223","36.0000","25.0000","0","LDO Voltage Regulators 1A, 3.3V"
"D4","BAT60JFILM","TopLayer","SOD323","19.0000","23.5000","180","DIODE SCHOTTKY 10V 3A SOD323"
"D2","BAT60JFILM","TopLayer","SOD323","21.5000","15.0000","270","DIODE SCHOTTKY 10V 3A SOD323"
"D5","BAT60JFILM","TopLayer","SOD323","17.5000","29.5000","270","DIODE SCHOTTKY 10V 3A SOD323"
"D3","BAT60JFILM","TopLayer","SOD323","40.0000","31.0000","270","DIODE SCHOTTKY 10V 3A SOD323"
"D1","BAT60JFILM","TopLayer","SOD323","27.0000","10.5000","180","DIODE SCHOTTKY 10V 3A SOD323"
"C13","Cap 100nF 0402","TopLayer","C_1005[0402]","19.7500","28.7500","180","Capacitor type 1"
"C15","Cap 100nF 0402","TopLayer","C_1005[0402]","21.0000","35.5000","270","Capacitor type 1"
"C11","Cap 100nF 0402","TopLayer","C_1005[0402]","45.5000","32.0000","90","Capacitor type 1"
"C20","Cap 100nF 0402","TopLayer","C_1005[0402]","94.7269","45.7899","0","Capacitor type 1"
"C19","Cap 100nF 0402","TopLayer","C_1005[0402]","97.0000","36.5000","180","Capacitor type 1"
"C22","Cap 100nF 0402","TopLayer","C_1005[0402]","102.0000","45.2500","180","Capacitor type 1"
"C21","Cap 100nF 0402","TopLayer","C_1005[0402]","101.7500","55.7500","180","Capacitor type 1"
"C9","Cap 100nF 0402","TopLayer","C_1005[0402]","24.7500","22.5000","90","Capacitor type 1"
"C6","Cap 100nF 0402","TopLayer","C_1005[0402]","29.5000","27.0000","270","Capacitor type 1"
"C3","Cap 100nF 0402","TopLayer","C_1005[0402]","33.0000","13.4500","90","Capacitor type 1"
"C26","Cap 100nF 0402","TopLayer","C_1005[0402]","15.8900","72.3100","180","Capacitor type 1"
"C2","Cap 100nF 0402","TopLayer","C_1005[0402]","31.0000","17.2500","0","Capacitor type 1"
"C7","Cap 10uF 0805","TopLayer","C_2012[0805]","29.2500","22.5000","90","Capacitor type 1"
"C4","Cap 10uF 0805","TopLayer","C_2012[0805]","25.0000","27.0500","270","Capacitor type 1"
"C27","Cap 4.7uF 0805","TopLayer","C_2012[0805]","55.5000","103.0000","90","Capacitor type 1"
"C12","Cap 4.7uF 0805","TopLayer","C_2012[0805]","18.0000","26.5000","180","Capacitor type 1"
"C14","Cap 4.7uF 0805","TopLayer","C_2012[0805]","19.0000","36.0000","270","Capacitor type 1"
"C10","Cap 4.7uF 0805","TopLayer","C_2012[0805]","43.0000","31.0000","90","Capacitor type 1"
"C24","Cap 4.7uF 0805","TopLayer","C_2012[0805]","95.0000","87.0000","0","Capacitor type 1"
"C23","Cap 4.7uF 0805","TopLayer","C_2012[0805]","9.0000","93.7500","270","Capacitor type 1"
"C18","Cap 4.7uF 0805","TopLayer","C_2012[0805]","118.0000","13.0000","0","Capacitor type 1"
"C17A","Cap 4.7uF 0805","TopLayer","C_2012[0805]","187.0000","81.0000","90","Capacitor type 1"
"C17B","Cap 4.7uF 0805","TopLayer","C_2012[0805]","147.0000","81.0000","90","Capacitor type 1"
